game_id,date,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,abs_error
2024-11-12-ATL-BOS,2024-11-12,ATL,BOS,-16.0,16.0,18.82774329185486,116,117,-1,0,1,0,0,1,0,19.82774329185486
2024-11-12-MIA-DET,2024-11-12,MIA,DET,1.5,-1.5,-1.1639091670513153,123,121,2,1,1,1,1,0,0,3.1639091670513153
2024-11-12-CHA-ORL,2024-11-12,CHA,ORL,-9.0,9.0,9.110296718776226,114,89,25,1,1,1,1,1,1,15.889703281223774
2024-11-12-NYK-PHI,2024-11-12,NYK,PHI,3.5,-3.5,-4.0057573318481445,99,111,-12,0,0,1,0,0,1,7.9942426681518555
2024-11-12-TOR-MIL,2024-11-12,TOR,MIL,-9.0,9.0,9.127409249544144,99,85,14,1,1,1,1,1,1,4.872590750455856
2024-11-12-PHX-UTA,2024-11-12,PHX,UTA,5.5,-5.5,-4.8183910846710205,112,120,-8,0,1,0,0,0,1,3.1816089153289795
2024-11-12-DAL-GSW,2024-11-12,DAL,GSW,-2.5,2.5,2.6530301570892334,120,117,3,1,1,1,1,1,1,0.3469698429107666
2024-11-12-MIN-POR,2024-11-12,MIN,POR,9.0,-9.0,-8.948707044124603,122,108,14,1,1,1,1,0,0,22.948707044124603
2024-11-15-MIA-IND,2024-11-15,MIA,IND,-4.5,4.5,4.224033415317535,111,124,-13,0,0,1,0,1,0,17.224033415317535
2024-11-15-PHI-ORL,2024-11-15,PHI,ORL,-2.5,2.5,2.6151993572711945,98,86,12,1,1,1,1,1,1,9.384800642728806
2024-11-15-DET-TOR,2024-11-15,DET,TOR,2.5,-2.5,-2.597769379615784,95,99,-4,0,0,1,0,0,1,1.4022306203842159
2024-11-15-WAS-ATL,2024-11-15,WAS,ATL,-9.5,9.5,9.194390267133713,129,117,12,1,0,0,1,1,1,2.8056097328662872
2024-11-15-CHI-CLE,2024-11-15,CHI,CLE,-10.0,10.0,12.833959102630615,144,126,18,1,1,1,1,1,1,5.166040897369385
2024-11-15-BKN-NYK,2024-11-15,BKN,NYK,-8.5,8.5,8.503998490516096,124,122,2,0,1,0,1,1,1,6.503998490516096
2024-11-15-LAL-SAS,2024-11-15,LAL,SAS,2.5,-2.5,-1.7643973231315613,115,120,-5,0,1,0,0,0,1,3.2356026768684387
2024-11-15-LAC-HOU,2024-11-15,LAC,HOU,-5.0,5.0,5.472575962543488,125,104,21,1,1,1,1,1,1,15.527424037456512
2024-11-15-DEN-NOP,2024-11-15,DEN,NOP,2.0,-2.0,-2.05602203309536,101,94,7,1,0,0,1,0,0,9.05602203309536
2024-11-15-PHX-OKC,2024-11-15,PHX,OKC,-7.5,7.5,7.651236340403557,99,83,16,1,1,1,1,1,1,8.348763659596443
2024-11-15-MEM-GSW,2024-11-15,MEM,GSW,-7.0,7.0,7.209715023636818,123,118,5,0,1,0,1,1,1,2.209715023636818
2024-11-15-MIN-SAC,2024-11-15,MIN,SAC,1.5,-1.5,-1.082542896270752,126,130,-4,0,1,0,0,0,1,2.917457103729248
2024-11-19-CLE-BOS,2024-11-19,CLE,BOS,-7.0,7.0,8.825334072113037,120,117,3,0,1,0,1,1,1,5.825334072113037
2024-11-19-CHA-BKN,2024-11-19,CHA,BKN,-1.5,1.5,1.4061733409762385,116,115,1,0,0,1,1,1,1,0.4061733409762385
2024-11-19-DEN-MEM,2024-11-19,DEN,MEM,-6.0,6.0,6.432331293821335,110,122,-12,0,1,0,0,1,0,18.432331293821335
2024-11-19-NOP-DAL,2024-11-19,NOP,DAL,-13.0,13.0,13.09722974896431,132,91,41,1,1,1,1,1,1,27.90277025103569
2024-11-19-OKC-SAS,2024-11-19,OKC,SAS,10.0,-10.0,-9.48537939786911,110,104,6,1,1,1,1,0,0,15.48537939786911
2024-11-19-UTA-LAL,2024-11-19,UTA,LAL,-10.5,10.5,11.621692061424255,124,118,6,0,1,0,1,1,1,5.621692061424255
2024-11-22-BKN-PHI,2024-11-22,BKN,PHI,-2.5,2.5,2.7494973838329315,113,98,15,1,1,1,1,1,1,12.250502616167068
